mmsi,risk_score,rule_risk_score,is_iuu,in_target_region,flag_risk_score,near_eez_boundary_50km,sar_manual_bin_hits_at_region_mean,gap_hours_mean,gap_days_fraction,region_hours_fraction,region_fishing_hours_sum,all_fishing_hours_sum
412440374,0.9998564015658722,0,0,0,3.525,0,0,,,0.0,0.0,1220.738
412549274,0.9998499190501083,0,0,0,3.525,0,0,,,0.0,0.0,883.2556
412341565,0.9998027913568546,0,0,0,3.525,0,0,,,0.0,0.0,425.6453
412521533,0.9997858525937865,0,0,0,3.525,0,0,,,0.0,0.0,795.6182
412328749,0.9997744094829296,0,1,0,3.525,0,0,,,0.0,0.0,320.2554
412453217,0.9997488318232971,0,0,0,3.525,0,0,,,0.0,0.0,374.533
412326130,0.9997081139937298,0,0,0,3.525,0,0,,,0.0,0.0,799.4354
412463276,0.9997028887813104,0,0,0,3.525,0,0,,,0.0,0.0,938.7283
412486054,0.9996951692345286,0,0,0,3.525,0,0,,,0.0,0.0,992.2279
412672230,0.9996906414019613,0,0,0,3.525,0,0,,,0.0,0.0,1619.9684
645380000,0.9996899161964816,0,0,0,3.525,0,0,,,0.0,0.0,469.9169
412697270,0.9996770501614659,0,0,0,3.525,0,0,,,0.0,0.0,1220.2993
412426688,0.9996768897294719,0,0,0,3.525,0,0,,,0.0,0.0,517.6662
412672260,0.9996584016424213,0,0,0,3.525,0,0,,,0.0,0.0,2565.0004
799,0.9996529059392462,0,0,0,3.525,0,0,,,0.0,0.0,289.5483
412328751,0.9996434951491451,0,1,0,3.525,0,0,,,0.0,0.0,461.6943
416669000,0.9995798439120189,0,0,0,2.975,0,0,,,0.0,0.0,633.8208
412675720,0.9995759335306339,0,0,0,3.525,0,0,,,0.0,0.0,911.8269
412585605,0.9995689887550118,0,0,0,3.525,0,0,,,0.0,0.0,288.8727
412699060,0.9995616817615472,0,0,0,3.525,0,0,,,0.0,0.0,436.5755
412420883,0.9995455423453691,0,0,0,3.525,0,0,,,0.0,0.0,1788.0261
412671330,0.9995409998987802,0,0,0,3.525,0,0,,,0.0,0.0,851.4683
412881288,0.9995332482435171,0,0,0,3.525,0,0,,,0.0,0.0,490.8992
412000924,0.9995239073495588,0,0,0,3.525,0,0,,,0.0,0.0,411.7251
412699740,0.9995194604449201,0,0,0,3.525,0,0,,,0.0,0.0,1272.6486
412772109,0.9995183424697964,0,0,0,3.525,0,0,,,0.0,0.0,99.8384
412699090,0.9995147123328366,0,0,0,3.525,0,0,,,0.0,0.0,323.8105
412753450,0.9995105949882174,0,0,0,3.525,0,0,,,0.0,0.0,901.1803
412440275,0.9995082672449905,0,0,0,3.525,0,0,,,0.0,0.0,1619.4969
412675680,0.999505570035883,0,0,0,3.525,0,0,,,0.0,0.0,316.9391
431704210,0.9995007918025578,0,0,0,2.525,0,0,,,0.0,0.0,862.875
412540000,0.9995000621862847,0,0,0,3.525,0,0,,,0.0,0.0,837.7643
412209086,0.9994957112368399,0,0,0,3.525,0,0,,,0.0,0.0,1222.1968
412654857,0.9994921534952269,0,0,0,3.525,0,0,,,0.0,0.0,592.1187
412698720,0.9994900031263155,0,0,0,3.525,0,0,,,0.0,0.0,997.1982
412674740,0.9994880138521215,0,0,0,3.525,0,0,,,0.0,0.0,1507.8923
412520378,0.9994776369471323,0,0,0,3.525,0,0,,,0.0,0.0,398.9975
412673270,0.9994721295526507,0,0,0,3.525,0,0,,,0.0,0.0,951.0958
412674980,0.9994669322854566,0,0,0,3.525,0,0,,,0.0,0.0,1390.3616
412698920,0.9994564476180839,0,0,0,3.525,0,0,,,0.0,0.0,317.9523
412477416,0.9994418133170803,0,0,0,3.525,0,0,,,0.0,0.0,399.5198
412440719,0.9994344393576607,0,0,0,3.525,0,0,,,0.0,0.0,798.573
412733218,0.999426432044708,0,0,0,3.525,0,0,,,0.0,0.0,400.4803
412566858,0.999417198454052,0,0,0,3.525,0,0,,,0.0,0.0,765.4571
412555678,0.999409872719122,0,0,0,3.525,0,0,,,0.0,0.0,872.9148
412328746,0.9993931510526846,0,1,0,3.525,0,0,,,0.0,0.0,373.5256
412460037,0.9993876877480945,0,0,0,3.525,0,0,,,0.0,0.0,1451.8043
412464121,0.9993820454457221,0,0,0,3.525,0,0,,,0.0,0.0,914.3004
412329667,0.9993792745021856,0,0,0,3.525,0,0,,,0.0,0.0,1176.4616
412329676,0.9993700146064666,0,0,0,3.525,0,0,,,0.0,0.0,1148.465
412285647,0.9993694964190208,0,0,0,3.525,0,0,,,0.0,0.0,892.4641
412699760,0.9993592867115401,0,0,0,3.525,0,0,,,0.0,0.0,872.4314
412465951,0.9993588007626254,0,0,0,3.525,0,0,,,0.0,0.0,1161.7022
412502459,0.9993538812926317,0,0,0,3.525,0,0,,,0.0,0.0,1484.8148
412420172,0.9993469141903949,0,0,0,3.525,0,0,,,0.0,0.0,883.7002
412547428,0.9993260135690787,0,0,0,3.525,0,0,,,0.0,0.0,1028.2892
412698560,0.9993096466733157,0,0,0,3.525,0,0,,,0.0,0.0,1070.1568
412440111,0.9992982199744463,0,0,0,3.525,0,0,,,0.0,0.0,235.107
