mmsi,anomaly_score
238117140,403874.21697506995
238988040,356224.44791345997
238987940,355053.54611756996
238156640,313348.35937245993
238337540,312867.97608821
238117240,249389.38490019002
247051410,247211.38326918
247050790,242911.63185024
247103780,236834.35289591
367553360,236703.38003725995
238019940,231915.97750213998
247051550,230053.75672498997
247051860,225173.82022286003
247053620,220482.68337996
367088130,219324.16721172997
247151980,216147.83382740998
238400640,215546.19337136997
367414380,213894.63807304
247125680,213498.80499608
247063240,213401.08149352
247050620,211847.98093669
247083190,210798.24601052998
247110880,210102.13357361002
366986160,209601.48310222
224010730,207998.96176851
