mmsi,risk_score,is_iuu,fv_flag_gfw,fv_vessel_class_gfw,fv_length_m_gfw,fv_engine_power_kw_gfw,fv_tonnage_gt_gfw,in_target_region,in_gulf,in_mediterranean,all_fishing_hours_sum,all_lat_mean,all_lon_mean,eez_boundary_dist_km_region_mean,near_eez_boundary_50km,sar_manual_bin_hits_at_all_mean,sar_manual_bin_hits_at_region_mean
512439000,0.9773291299199016,0,NZL,trawlers,58.9,1912.0,465.0,0,0,0,20018.0669,-46.823308687170346,164.24912935622936,,0,0,0
512426000,0.9770000749020392,0,NZL,trawlers,57.8,1912.0,438.4,0,0,0,20269.5976,-46.407042429388405,170.11565567015458,,0,0,0
512228000,0.9765957125053926,0,NZL,trawlers,56.8,2059.0,458.4,0,0,0,20708.6339,-45.99161501637692,167.60901486520532,,0,0,0
512000125,0.9736035818806956,0,NZL,trawlers,63.2,2704.058,1899.0,0,0,0,25464.5271,-44.98079308288611,161.99863148479426,,0,0,0
512000122,0.973272095910476,0,NZL,trawlers,63.2,2457.968,1899.0,0,0,0,26539.1915,-45.11263744678244,160.07815859597537,,0,0,0
512235000,0.9715031220607776,0,NZL,trawlers,64.5,2457.0,1463.4,0,0,0,30780.1801,-44.13009331529469,153.03958788635654,,0,0,0
512236000,0.9707761145436734,0,NZL,trawlers,60.3,2500.0,1899.0,0,0,0,25357.3241,-43.75814885724542,138.0889254517171,,0,0,0
512447000,0.9706526773318224,0,NZL,trawlers,104.5,4472.907,4407.0,0,0,0,13302.0715,-43.346566458739794,166.8780934846528,,0,0,0
512004438,0.9701468408915294,0,NZL,trawlers,104.5,4099.906,4407.0,0,0,0,16970.4119,-43.113825101309686,164.17814940976098,,0,0,0
512400000,0.969250893364242,0,NZL,trawlers,62.8,2460.0,982.0,0,0,0,21710.7228,-44.79164864617915,140.68363841257272,,0,0,0
512430000,0.968812182510132,0,NZL,trawlers,58.2,1912.0,423.1,0,0,0,17570.4269,-46.544192829520874,167.2472832142623,,0,0,0
413342000,0.968014881996144,0,CHN,drifting_longlines,34.8,330.0,192.0,0,0,0,23760.941,-15.143068265632255,168.67819815882208,,0,0,0
512409000,0.9679125312236896,0,NZL,trawlers,104.5,5303.808,4407.0,0,0,0,12238.6338,-43.196104146576666,148.9751012536162,,0,0,0
413344000,0.9678502843408208,0,CHN,drifting_longlines,34.8,330.0,192.0,0,0,0,23786.9531,-14.45025831670448,169.00027608452012,,0,0,0
512000113,0.9677196648422672,0,NZL,trawlers,42.9,2400.0,634.5,0,0,0,16054.6768,-42.81274346677107,171.56833382271378,,0,0,0
413343000,0.9673323198033752,0,CHN,drifting_longlines,34.8,330.0,192.0,0,0,0,22285.984,-14.719014549391355,163.36171212801352,,0,0,0
413345000,0.9672958950372752,0,CHN,drifting_longlines,34.8,330.0,192.0,0,0,0,23666.799,-14.424931271000528,168.165402238205,,0,0,0
512000103,0.9669391899012784,0,NZL,trawlers,64.0,3530.0,2483.0,0,0,0,19813.8878,-44.14702254574866,151.65842011256024,,0,0,0
512005171,0.9665743453533616,0,NZL,trawlers,104.5,5089.968,4407.0,0,0,0,13419.0509,-44.136753362656975,164.31139159813858,,0,0,0
503072830,0.9655831823181886,0,AUS,trawlers,21.7,383.651,197.511,0,0,0,16683.034,-40.07723087381041,144.39673093560745,,0,0,0
512411000,0.965349708601696,0,NZL,trawlers,104.5,5152.0,4407.0,0,0,0,14020.1742,-44.07992076020677,144.79509394248925,,0,0,0
512003817,0.9652872405025849,0,NZL,trawlers,97.5,3841.8,4407.0,0,0,0,14279.2944,-43.95902564102564,165.90846153846155,,0,0,0
412549009,0.9648672003168288,0,CHN,drifting_longlines,34.8,407.0,215.0,0,0,0,25746.003,-13.48111503484484,164.61091596612394,,0,0,0
413340000,0.9648171396686456,0,CHN,drifting_longlines,34.8,330.0,192.0,0,0,0,22729.7144,-14.13122538175147,148.31929261317651,,0,0,0
431380000,0.9645984805843986,0,JPN,drifting_longlines,54.6,1002.7,585.0,0,0,0,13597.8886,-6.538488971915002,153.56216698155262,,0,0,0
